HE1991	HE1992	HE1993	HE1994	HE1995	HE1996	HE1997	HE1998	HE1999	HE2000	HE2001	HE2002	HE2003	HE2004	HE2005	HE2006	HE2007	HE2008	HE2009	HE2010	HE2011	HE2012	HE2013	HE2014	HE2015	HE2016	HE2017
42.1488	38.1671	36.8510	37.8063	37.4756	35.8783	36.4858	37.0525	35.7771	35.3000	34.3118	34.4760	33.5637	32.3531	31.5805	30.5020	28.7377	27.3248	28.0408	27.8617	26.9567	27.6698	27.4851	27.0087	28.2272	27.7972	26.9600
34.8914	35.6924	36.5674	37.0688	36.1332	36.3239	35.9526	37.9316	36.2594	34.2000	34.3704	33.7677	32.6537	30.9193	28.8044	27.9090	27.2223	25.5450	29.3947	28.8064	28.6470	28.3795	28.0142	28.5970	32.4231	32.8786	32.0174
50.7016	51.4805	50.0965	51.4548	51.9941	48.5821	51.9315	50.2280	52.6581	48.8000	46.4285	47.3394	47.1746	45.4632	43.8406	42.0377	40.4995	37.6840	39.8650	39.1863	36.8830	36.0555	36.2938	35.2409	38.8052	40.5672	39.1108
25.5834	24.5650	26.8614	26.2659	26.2977	24.8703	25.0449	24.3783	25.9153	25.4000	26.4311	28.5017	27.7897	26.9934	26.2787	25.7498	24.8548	23.7558	25.3474	23.3271	21.4892	22.0125	22.1549	23.0503	22.4276	22.3068	20.8513
48.0824	48.6549	47.4036	43.4697	45.2366	46.1662	45.7808	45.6228	46.6409	46.6000	45.8343	44.4483	43.1884	43.6468	42.3435	41.9932	39.3351	36.1855	41.7891	40.4954	38.9085	36.5131	36.1609	35.9462	38.3705	36.6590	34.4722
14.3949	15.1521	14.8942	14.2184	13.5949	13.5849	12.9559	12.8889	13.4266	13.1000	12.7975	12.7590	12.4469	12.2282	12.1479	11.6117	11.1374	10.3197	10.9243	11.0529	10.1018	9.7609	9.7744	9.4019	10.5370	11.8357	11.6170
8.6093	8.6193	9.1392	9.0413	8.7393	8.8324	8.9352	8.8406	8.9617	8.8000	8.6025	8.3627	8.0163	7.6231	7.6417	7.2800	6.4409	6.3846	7.8436	7.6194	6.9113	7.0332	6.9513	6.5651	7.3213	7.4229	7.0533
59.3348	55.8431	62.0580	64.9009	58.3366	59.7606	58.3744	60.7474	60.4226	60.6000	58.7302	57.0375	55.5855	54.6304	52.4493	50.8908	49.1433	45.6031	49.2511	47.4712	44.1344	43.5871	42.3756	42.6503	48.1292	49.8231	48.6005
33.7312	33.8868	33.3457	34.2475	33.5028	33.1206	28.9488	27.8292	27.0813	26.2000	27.0089	26.1522	26.4281	26.2909	25.1384	25.1267	24.5679	25.6055	28.3420	28.2629	28.6931	27.9810	27.8479	27.1136	27.3699	27.6243	27.9658
20.0297	20.0902	19.9774	19.8257	19.7716	19.9588	19.5223	20.3147	19.9399	18.4000	18.8542	18.5642	18.1234	16.8992	16.0539	15.7958	15.1202	14.1759	16.3589	15.8517	14.5631	14.4397	13.8949	14.0623	15.4431	15.5870	15.1302
35.0769	35.8640	36.8931	36.7422	35.2305	35.4961	35.4764	36.1787	35.5980	35.6000	34.6909	35.6589	36.2513	36.0715	35.0173	34.9403	33.8916	32.1154	31.5750	30.9883	29.0847	29.4334	28.5872	27.6206	26.9185	26.5567	25.8580
52.8569	46.4712	46.5676	47.6537	50.8064	49.9368	49.4130	48.1803	49.5580	48.1000	49.7574	50.0026	49.1420	47.4354	47.2396	45.0883	42.3699	37.7307	40.5302	38.6544	34.5145	33.5220	33.2802	33.0793	37.7632	39.2310	37.5432
20.6713	20.3533	20.9111	20.3745	19.5872	19.9104	19.9457	20.2505	19.8937	19.9000	20.0574	20.1325	19.3969	18.2598	18.1067	17.6706	16.0592	15.5499	17.4238	16.8767	15.9600	16.7462	16.5542	15.9442	17.1987	16.8999	16.4585
56.9246	51.5511	53.1721	53.2968	51.3532	49.9086	51.2264	49.8733	47.9046	43.8000	45.1494	45.9742	45.3845	44.7109	44.2595	41.8187	42.5636	41.8035	46.0020	44.9713	42.8444	41.4008	41.2313	41.1228	41.0015	43.9268	43.7489
56.1952	56.2165	53.9263	55.5116	52.5431	50.9850	52.3780	49.9661	49.4638	50.2000	51.1268	49.9680	50.6487	49.9763	50.1529	50.3789	46.5602	45.6871	48.9806	48.9437	48.2877	47.2965	43.9017	39.9687	47.5820	44.8531	41.5316
28.8038	28.4707	28.2535	27.7602	26.0725	29.5891	29.3053	28.4899	27.7630	29.4000	29.1454	28.9797	28.1008	26.9816	26.4959	25.7797	23.6163	23.5708	24.9222	23.0591	22.2229	22.2526	21.6391	20.9832	20.5512	20.5980	19.0144
66.1963	67.0313	67.9634	68.0021	67.3554	64.8797	67.0366	65.0870	68.9725	67.1000	70.5210	69.3392	69.9386	69.1351	67.4619	63.3251	61.6427	57.9530	61.6695	58.0755	54.4512	52.0179	51.1179	50.6877	57.0955	58.2195	55.7753
30.3961	30.8313	31.0724	37.3935	39.5399	35.8173	34.3637	32.4749	32.7840	34.1000	33.5864	37.8725	35.7458	33.4573	32.7050	31.5820	31.2572	30.0139	32.4177	31.8695	30.5273	30.9492	29.7457	29.3455	30.1354	28.9133	26.8642
33.1821	34.3930	35.2475	35.3178	34.8384	34.5662	33.2604	34.5191	33.4539	33.4000	33.3944	33.5174	30.8339	29.0744	28.4311	28.1018	26.8617	27.3381	29.0434	26.1114	23.2851	22.5944	23.0547	22.7754	25.3360	25.5619	26.0072
40.0349	40.3693	40.5367	38.3724	41.4737	40.5949	39.9147	40.7165	41.2237	39.8000	39.9384	40.5205	39.9366	38.4720	38.4653	37.3385	35.9154	33.5803	35.0624	30.7928	28.1607	29.1042	29.3430	29.8504	33.6445	34.5626	33.7864
30.7424	30.7368	31.5608	32.5978	30.7457	29.1701	30.1082	32.9362	32.6741	31.1000	31.9660	31.3087	30.2187	29.6357	28.1369	27.1959	27.6917	23.9570	27.0732	26.2513	22.1350	21.5311	22.6790	24.9422	29.7549	30.3034	30.2065
34.7643	34.9397	34.6196	33.6172	32.5967	32.7542	30.7463	34.7648	34.4882	35.3000	34.7400	33.9888	34.0540	32.1110	30.7628	29.5709	26.5912	25.5085	26.3898	26.1639	24.3812	24.5445	24.8017	24.1743	24.8973	24.0139	22.8963
39.2228	41.9396	41.5903	43.5933	42.2099	43.0740	42.0827	41.2944	39.2160	41.4000	43.3388	41.3798	39.1441	38.0989	37.0329	37.1751	37.1508	34.0198	33.6664	31.8858	29.5766	29.2557	30.5348	31.3859	33.9925	33.9568	33.1117
32.7793	36.5898	38.3853	37.3136	37.3472	41.4600	38.5834	39.2845	40.3644	39.5000	39.4563	39.6862	40.7429	40.4748	36.4533	34.9683	36.7228	35.1494	35.9302	35.5095	34.7247	34.5905	34.5193	34.3640	34.5998	36.3509	32.7055
39.0287	40.0825	41.3472	40.2395	40.1780	36.6909	38.9691	36.7820	36.9137	36.1000	35.0857	35.7030	35.8605	34.9399	34.1961	30.4159	28.0053	26.1401	28.6392	29.0134	27.4269	27.3909	27.3903	27.5196	29.3299	28.6487	27.3127
49.5653	51.5140	54.4300	57.9498	54.1578	55.5361	54.4458	52.7142	51.6207	50.1000	49.7158	54.0535	53.1521	49.4994	45.3796	42.1943	40.0941	48.3651	47.9113	47.8510	47.0334	46.2863	47.0647	46.2824	47.3635	49.7064	40.7791
34.2658	34.1902	35.0028	33.5134	33.6863	34.5088	32.2936	32.2152	33.6519	32.8000	33.3910	33.0241	32.1175	31.0641	30.3158	28.9468	27.5638	26.5620	28.9672	28.5952	27.8462	28.2840	27.7361	26.4366	28.9486	29.3109	28.0022
16.4783	16.5854	16.2669	15.6404	15.0375	14.8933	14.0945	14.0488	13.6282	13.4000	13.5801	13.9569	13.6802	13.0912	12.6594	11.9844	11.6073	11.4785	13.1664	12.2057	11.6834	11.5765	11.5193	11.0609	12.1170	12.3482	12.0403
37.2700	37.5724	38.9058	41.9923	39.2235	39.9056	39.2582	39.3814	42.6964	42.6000	42.9559	41.8561	41.0552	40.9849	39.4251	38.0073	36.5002	35.4131	35.3235	34.6584	32.8452	32.8975	38.8069	36.2292	35.6633	35.9472	34.4665
46.4477	46.6437	47.4069	47.2842	46.5584	46.1678	46.7909	45.6830	47.0036	46.2000	46.3196	41.6797	43.9477	40.7547	39.2544	38.3511	37.9849	36.9577	38.5457	37.0759	35.7847	36.0608	36.2016	34.4057	38.0225	39.9170	39.3275
18.6530	18.5347	18.8010	18.5957	17.9857	18.9237	18.4276	19.0177	19.3233	18.9000	18.9935	18.8902	18.4603	17.1794	16.4001	15.3892	14.9507	14.9278	16.6801	15.2158	14.1418	14.0706	14.3229	14.7778	15.8927	16.9047	16.7755
15.6793	15.7618	15.5270	15.3518	14.9121	14.8502	15.0253	15.5452	16.3737	16.5000	16.0497	15.6132	14.8987	14.0590	14.0256	13.8978	13.2006	12.5516	12.7639	12.0886	11.8446	11.9454	11.6111	10.9683	11.4765	11.2722	11.0669
37.1314	37.3846	36.3920	36.1067	36.1332	37.9658	38.1356	39.0377	40.0876	39.1000	37.8748	38.5353	36.8431	36.2729	33.6897	31.8744	31.3374	28.9213	31.4124	29.8656	25.7428	25.2241	25.7597	25.9720	28.6472	30.0254	29.9425
