OLDTR OLDARD  OLDPR  OLDSP D72 D73 D74 D75 D76 D77 D78 D79 D80 D81 D82 D83 D84
3000  12292.0 48700 .16690 0   0   0   0   0   0   0   0   0   0   0   0   1 
 312    220.0 11000 .01964 1   0   0   0   0   0   0   0   0   0   0   0   0 
 806    775.7 22000 .02577 0   1   0   0   0   0   0   0   0   0   0   0   0 
 806    775.7 12500 .02577 0   0   1   0   0   0   0   0   0   0   0   0   0 
 806    775.7 12500 .02577 0   0   0   1   0   0   0   0   0   0   0   0   0 
 806    775.7 12500 .02577 0   0   0   0   1   0   0   0   0   0   0   0   0 
 806    775.6 38500 .04901 0   0   0   1   0   0   0   0   0   0   0   0   0 
 806    775.6 27500 .04901 0   0   0   0   1   0   0   0   0   0   0   0   0 
 312    220.0  9000 .01855 1   0   0   0   0   0   0   0   0   0   0   0   0 
 312    220.0  9000 .01855 1   0   0   0   0   0   0   0   0   0   0   0   0 
 312    775.7 22000 .02235 0   1   0   0   0   0   0   0   0   0   0   0   0 
 312    775.7 12000 .02235 0   0   1   0   0   0   0   0   0   0   0   0   0 
 312    775.7 12000 .02235 0   0   0   1   0   0   0   0   0   0   0   0   0 
 312    775.7 11000 .02235 0   0   0   0   1   0   0   0   0   0   0   0   0 
3000  12939.2 60650 .15957 0   0   0   0   0   0   0   0   0   0   0   1   0 
1198   4191.0 37750 .07125 0   0   0   0   0   1   0   0   0   0   0   0   0 
1198   4191.0 37750 .07125 0   0   0   0   0   0   1   0   0   0   0   0   0 
1198   4191.0 37750 .07125 0   0   0   0   0   0   0   1   0   0   0   0   0 
1198   4191.0 30200 .07125 0   0   0   0   0   0   0   0   1   0   0   0   0 
1198   4191.0 30200 .07125 0   0   0   0   0   0   0   0   0   1   0   0   0 
1198   4191.0 36610 .07125 0   0   0   0   0   0   0   0   0   0   1   0   0 
3000  12939.2 68200 .15957 0   0   0   0   0   0   0   0   0   0   0   1   0 
 312    220.0 38250 .03778 1   0   0   0   0   0   0   0   0   0   0   0   0 
 806    775.7 51940 .04892 1   0   0   0   0   0   0   0   0   0   0   0   0 
 806    775.7 52033 .04892 0   1   0   0   0   0   0   0   0   0   0   0   0 
 806    775.7 52900 .04892 0   0   1   0   0   0   0   0   0   0   0   0   0 
 885   1691.0 28000 .05353 0   0   1   0   0   0   0   0   0   0   0   0   0 
 885   1691.0 26600 .05353 0   0   0   1   0   0   0   0   0   0   0   0   0 
 885   1691.0 25200 .05353 0   0   0   0   1   0   0   0   0   0   0   0   0 
 885   1691.0 25200 .05353 0   0   0   0   0   1   0   0   0   0   0   0   0 
 885   2694.0 49500 .05353 0   0   0   0   1   0   0   0   0   0   0   0   0 
 885   2694.0 49500 .05353 0   0   0   0   0   1   0   0   0   0   0   0   0 
 885   2694.0 47531 .05353 0   0   0   0   0   0   1   0   0   0   0   0   0 
