LNWAGE	UNION	MANAG	PROF	SALES	SERV	FE	ED	EX	EXSQ
2.1401	1	0	0	0	0	0	6	38	1444
1.7047	1	0	0	0	0	1	12	5	25
2.1102	1	0	0	0	0	0	11	27	729
1.8326	0	0	0	0	0	0	12	29	841
1.3083	0	0	0	0	0	0	12	7	49
1.2528	0	0	0	0	0	0	6	24	576
1.5041	0	0	0	0	0	0	15	7	49
1.6582	1	0	0	0	1	1	8	48	2304
2.082	1	0	0	0	0	0	8	11	121
1.2528	0	0	0	0	0	1	16	21	441
1.6094	1	0	0	0	1	0	10	8	64
1.8326	0	0	0	0	0	0	13	8	64
1.3218	0	0	0	0	0	0	8	19	361
1.1982	0	0	0	0	1	0	12	4	16
1.2947	0	0	0	0	1	1	7	31	961
0.9746	0	0	0	0	0	1	11	2	4
1.2238	0	0	0	1	0	0	12	19	361
1.204	0	0	0	0	0	0	1	47	2209
2.2083	0	0	0	0	0	0	12	19	361
1.7918	0	0	0	0	1	0	12	22	484
1.8718	0	0	1	0	0	1	13	15	225
1.5669	0	0	0	0	0	0	6	39	1521
0.9555	0	0	0	0	1	0	4	13	169
1.0647	0	0	0	0	0	1	6	17	289
1.7237	0	0	1	0	0	1	14	6	36
1.1575	0	0	0	0	1	0	5	50	2500
1.5581	0	0	0	0	0	1	12	21	441
1.2936	0	0	0	1	0	0	12	28	784
1.361	0	0	0	0	0	1	14	30	900
1.0296	0	0	0	0	1	1	9	34	1156
1.2164	0	0	0	0	0	1	12	6	36
1.4469	0	0	0	0	0	0	6	15	225
1.5041	1	0	0	0	0	0	13	12	144
2.1691	0	0	1	0	0	0	17	15	225
2.1848	0	1	0	0	0	0	14	41	1681
1.4586	0	0	0	0	0	0	10	20	400

